yr_built,bridge_condition,avg_daily_traffic,lat,long,county,carries,total_improve_cost_thousands,inspection_mo,inspection_yr,owner,responsibility,vehicles
1973,Fair,13471,39.1956527777778,-76.59763333333333,Anne Arundel County,MD 710,NA,07,15,State Highway Agency,State Highway Agency,13471 vehicles
1975,Fair,32100,39.1682166666667,-76.60855833333333,Anne Arundel County,N THOMPSON AVENUE,NA,05,15,State Highway Agency,State Highway Agency,32100 vehicles
1976,Fair,10890,39.1574555555556,-76.60319166666666,Anne Arundel County,MD 648E,NA,06,15,State Highway Agency,State Highway Agency,10890 vehicles
1958,Fair,21141,39.20277786,-76.625,Anne Arundel County,IS 895B RAMP,1053,05,16,State Highway Agency,State Highway Agency,21141 vehicles
1957,Fair,2000,39.2028166666667,-76.62170833333333,Anne Arundel County,CEDAR AVENUE,NA,02,17,State Highway Agency,State Highway Agency,2000 vehicles
1957,Fair,21141,39.20500183,-76.62166595,Anne Arundel County,IS 895B,NA,02,17,State Highway Agency,State Highway Agency,21141 vehicles
1957,Fair,92102,39.202822,-76.631183,Anne Arundel County,MD 695,NA,07,15,State Highway Agency,State Highway Agency,92102 vehicles
1977,Fair,16262,39.1768138888889,-76.60578055555555,Anne Arundel County,MD 270,NA,03,16,State Highway Agency,State Highway Agency,16262 vehicles
1975,Good,8562,39.1765777777778,-76.6057388888889,Anne Arundel County,MD 270 & RAMP 2,NA,07,15,State Highway Agency,State Highway Agency,8562 vehicles
1975,Fair,2762,38.7781777777778,-76.56249722222222,Anne Arundel County,MD 256,NA,10,16,State Highway Agency,State Highway Agency,2762 vehicles
1980,Fair,2762,38.7825527777778,-76.559575,Anne Arundel County,MD 256,NA,10,16,State Highway Agency,State Highway Agency,2762 vehicles
1936,Fair,23961,39.1449333333333,-76.60658055555555,Anne Arundel County,MD 2,NA,07,15,State Highway Agency,State Highway Agency,23961 vehicles
1990,Good,39015,39.20000076,-76.69499969,Anne Arundel County,IS 195 EBR,NA,08,16,State Highway Agency,State Highway Agency,39015 vehicles
1990,Good,39015,39.20000076,-76.69499969,Anne Arundel County,IS 195 WBR,NA,08,16,State Highway Agency,State Highway Agency,39015 vehicles
1990,Fair,56601,39.19666672,-76.69166565,Anne Arundel County,IS 195 EBR,NA,11,15,State Highway Agency,State Highway Agency,56601 vehicles
1990,Fair,56601,39.19666672,-76.69166565,Anne Arundel County,IS 195 WBR,NA,11,15,State Highway Agency,State Highway Agency,56601 vehicles
1990,Good,3623,39.19833374,-76.69833374,Anne Arundel County,IS 195 RAMP A,NA,03,17,State Highway Agency,State Highway Agency,3623 vehicles
1990,Good,5973,39.1866684,-76.69833374,Anne Arundel County,IS 195 RAMP D,NA,03,17,State Highway Agency,State Highway Agency,5973 vehicles
1989,Fair,14460,39.203067,-76.631083,Anne Arundel County,IS 695 RAMP F,NA,11,15,State Highway Agency,State Highway Agency,14460 vehicles
1989,Fair,84179,39.200861,-76.631539,Anne Arundel County,IS 97 RAMP W,NA,11,15,State Highway Agency,State Highway Agency,84179 vehicles
1970,Fair,19020,39.1903444444444,-76.656525,Anne Arundel County,MD 162,NA,02,17,State Highway Agency,State Highway Agency,19020 vehicles
1951,Fair,128182,39.22166824,-76.66166687,Anne Arundel County,IS 695,NA,05,16,State Highway Agency,State Highway Agency,128182 vehicles
1989,Fair,10999,39.12166595,-76.63999939,Anne Arundel County,IS 97 RAMP F,NA,09,15,State Highway Agency,State Highway Agency,10999 vehicles
1990,Fair,3511,39,-76.70666504,Anne Arundel County,MD 3D,NA,10,15,State Highway Agency,State Highway Agency,3511 vehicles
1990,Good,18700,39.09500122,-76.625,Anne Arundel County,MD 3C,NA,10,15,State Highway Agency,State Highway Agency,18700 vehicles
1989,Fair,52720,39.0725055555556,-76.63384166666667,Anne Arundel County,MD 3 SBR,NA,07,15,State Highway Agency,State Highway Agency,52720 vehicles
1989,Fair,39092,39.0655083333333,-76.64566388888889,Anne Arundel County,MD 32 EBR,NA,04,15,State Highway Agency,State Highway Agency,39092 vehicles
